,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.0890,2.2478,0.8948,0.2912,0.3831,2.0454
r_e error,50.5603,0.3154,0.7307,25.9627,0.0000,0.6253
n error,1.0457,0.3183,0.0969,0.4510,0.0000,0.3752
x_0 error,0.0941,0.0162,1.2130,0.1070,0.0000,0.7851
