,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.1893,7.8701,4.6486,1.5025,3.2674,6.7378
r_e,21.3014,2.0444,5.2567,20.5878,1.6750,1.0356
n,2.7372,2.2440,0.4658,1.7728,0.1893,0.4970
x_0,16.7352,41.5952,61.7451,66.4424,73.5406,72.1839
