,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.2091,3.8727,3.9010,0.4138,0.7560,0.0212
r_e,21.9956,3.3915,7.0775,22.4395,4.4283,105.5748
n,3.0468,3.2544,0.6023,2.3024,1.9294,2.7594
x_0,16.0320,40.9784,61.7772,65.9009,72.1799,90.5581
