,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.1425,0.8067,10.6245,7.3963,1.2452,0.3592
r_e error,12.2773,2.2672,9.6756,8.8143,0.9308,5.8984
n error,0.5699,0.5589,0.7683,0.6082,0.3169,0.0760
x_0 error,0.0443,0.0163,20.4749,0.3211,0.3836,1.5993
