,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.3695,1.4313,1.8259,5.0009,0.5691,0.1727
r_e error,18.7675,0.9861,0.8280,5.2518,18.9137,2705.5807
n error,0.9164,0.3975,0.0655,1.9614,1.6865,7.1019
x_0 error,0.0545,0.0135,2.1908,0.1570,0.1667,0.0271
