,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,99.42 +0.13 -0.07,0.25 +0.08 -0.06,0.02 +0.02 -0.01,0.01 +0.01 -0.00,0.00 +0.01 -0.00,0.01 +0.01 -0.00
Green,0.56 +0.07 -0.13,99.10 +0.20 -0.27,1.02 +0.15 -0.20,0.42 +0.05 -0.10,0.27 +0.04 -0.07,0.63 +0.12 -0.22
Magenta,0.00 +0.00 -0.00,0.53 +0.23 -0.16,81.17 +3.91 -4.73,23.35 +4.89 -4.13,3.60 +0.97 -0.75,0.03 +0.05 -0.02
Orange,0.00 +0.00 -0.00,0.00 +0.00 -0.00,15.47 +4.74 -3.87,68.59 +4.21 -5.74,3.36 +2.64 -1.40,0.00 +0.00 -0.00
Chocolate,0.00 +0.00 -0.00,0.02 +0.02 -0.01,1.96 +0.40 -0.35,7.35 +0.88 -0.60,91.83 +1.26 -2.45,1.79 +0.79 -0.54
Dodgerblue,0.02 +0.02 -0.01,0.08 +0.06 -0.06,0.33 +0.15 -0.16,0.36 +0.13 -0.15,0.82 +0.21 -0.25,97.54 +0.56 -0.78
