,Component 1,Component 2,Component 3,Component 4
I_e error,1.2146,3.7783,1.5057,0.4927
r_e error,89.0061,8390.0502,538.5574,295.0749
n error,10.0282,1659.7805,8.4238,1.9096
x_0 error,0.1043,0.0650,0.6149,0.2086
