,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.5277,2.4995,3.7766,0.8055,2.6985,0.3420
r_e,10.0000,3.9670,5.5230,27.9262,2.3088,3.6967
n,1.7856,3.5749,0.4476,2.1522,0.7828,0.7911
x_0,16.6362,41.5833,61.3210,66.4158,72.6949,91.5461
