,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,2.8738,3.5002,3.2549,7.2969,3.4630,0.1189
r_e error,2.2577,29.0437,1.4335,0.3236,0.6562,12942.4047
n error,0.5601,7.2084,0.2883,0.2664,0.2524,12.9491
x_0 error,0.0798,0.0063,0.8305,0.3257,0.1349,0.0039
