,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.7324,3.5073,2.5501,4.1766,0.2177,1.4155
r_e error,2.6028,0.3744,1.0142,2.6349,11.6017,2.5684
n error,0.5061,0.3718,0.1547,0.7622,0.2408,0.6381
x_0 error,0.0609,0.0148,3.4955,0.2928,8.9056,0.2106
