,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.3357,2.3535,1.2672,0.5349,14.8685,148.5543
r_e error,25.4813,0.3169,0.7742,4.3578,39.7427,4.9277
n error,1.7820,0.3102,0.1081,0.2124,7.4210,12.5015
x_0 error,0.0022,0.0182,1.4142,0.1424,41.2519,15.2205
