,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,1.3189,2.8302,6.5184,9.3911,4.7418,0.9772
r_e,10.9768,4.6566,6.9821,4.4883,5.5578,6.7674
n,2.8420,3.0356,0.8845,0.9674,1.7061,1.3700
x_0,16.6268,41.6152,60.3210,65.5906,72.5908,91.2633
