,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,7.351,12.854,10.880,5.743,2.084
Continuum_2,3.552,7.494,5.576,2.990,1.238
Continuum_3,6.510,11.285,12.271,7.521,2.594
