,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,2.8992,0.0068,0.3076,0.2987,0.1085
r_e,1.8402,120.0623,1.9105,1.6921,31.5242
n,1.1149,3.6971,0.5271,0.3598,2.7561
x_0,32.1402,70.1978,15.5614,20.5661,34.0823
