,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,17.890,15.082,14.280,13.230,7.724
Continuum_2,15.355,16.887,15.988,14.144,10.879
Continuum_3,15.578,22.695,20.072,13.477,9.495
