,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.253,0.214,0.174,0.093,0.050
Continuum_2,0.191,0.249,0.117,0.070,0.053
Continuum_3,0.134,0.261,0.092,0.052,0.050
