,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.041,0.115,0.121,0.265,0.144,0.113,0.069
Continuum_2,0.039,0.099,0.107,0.211,0.139,0.099,0.065
Continuum_3,0.035,0.084,0.093,0.174,0.127,0.085,0.058
