Name,Flux,Error_flux
Hgamma,0.761441417511468,0.7814081302536269
Hbeta,1.4637537139056338,0.6388986052025931
Halpha,0.24729596630862852,0.26293536800862877
[SII]6716,0.0,0.033489264597248936
[SII]6731,0.06592170105460352,0.05946471923919887
HeII4687,0.0,0.07518692750905828
HeI5876,0.148512435256685,0.08009049067740028
[OIII]4959,0.06318498660906305,0.113671811891419
[OIII]5007,0.18955495982718915,0.113671811891419
[OI]6300,0.0,0.06551649846439357
[OI]6364,0.0,0.06551649846439357
[NII]6548,0.08638877869586634,0.10341495117960799
[NII]6583,0.259166336087599,0.10341495117960799
