,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,2.721,0.114,0.042
Spettro_4,0.867,0.032,0.037
Spettro_5,2.777,0.185,0.067
Spettro_6,9.198,0.510,0.055
Spettro_7,17.051,1.860,0.109
Spettro_8,12.119,30.570,2.523
Spettro_9,7.611,17.216,2.262
Spettro_10,25.347,11.703,0.462
Spettro_11,49.595,7.649,0.154
Spettro_12,38.464,7.712,0.200
Spettro_13,11.920,1.601,0.134
Spettro_14,19.102,0.435,0.023
Spettro_15,5.376,0.235,0.044
Spettro_16,-0.160,-0.006,0.036
Spettro_17,,,
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
