,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,-0.662,-0.070,0.106
Spettro_4,0.669,0.061,0.091
Spettro_5,2.194,0.150,0.068
Spettro_6,4.575,0.515,0.113
Spettro_7,14.006,1.342,0.096
Spettro_8,9.951,8.431,0.847
Spettro_9,4.484,6.930,1.545
Spettro_10,28.651,3.564,0.124
Spettro_11,21.686,2.990,0.138
Spettro_12,28.580,4.807,0.168
Spettro_13,23.744,2.609,0.110
Spettro_14,6.438,0.635,0.099
Spettro_15,4.879,0.320,0.066
Spettro_16,0.378,0.046,0.121
Spettro_17,,,
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
