,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,4.061,0.186,0.046
Spettro_4,5.898,0.215,0.037
Spettro_5,6.568,0.399,0.061
Spettro_6,30.705,1.555,0.051
Spettro_7,57.189,6.834,0.119
Spettro_8,40.861,112.911,2.763
Spettro_9,25.546,57.784,2.262
Spettro_10,76.526,32.255,0.421
Spettro_11,159.818,22.502,0.141
Spettro_12,112.856,22.627,0.200
Spettro_13,42.256,6.219,0.147
Spettro_14,47.800,1.192,0.025
Spettro_15,7.406,0.296,0.040
Spettro_16,3.703,0.146,0.040
Spettro_17,,,
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
