,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,0.034,0.034,0.035,0.038,0.037,0.036,0.036,0.067,0.077,0.044,0.040,0.045,0.038,0.033,0.031,0.033,0.034,0.030,0.034,0.035
Continuum_2,0.023,0.022,0.021,0.023,0.023,0.024,0.023,0.053,0.071,0.041,0.032,0.037,0.030,0.023,0.021,0.021,0.024,0.021,0.023,0.022
Continuum_3,0.020,0.020,0.021,0.019,0.021,0.022,0.023,0.068,0.092,0.060,0.036,0.040,0.026,0.021,0.021,0.020,0.020,0.021,0.019,0.021
