,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,0.335,0.015,0.044
Spettro_4,2.141,0.068,0.032
Spettro_5,5.693,0.267,0.047
Spettro_6,9.998,0.614,0.061
Spettro_7,13.732,2.251,0.164
Spettro_8,19.494,23.553,1.208
Spettro_9,15.948,17.035,1.068
Spettro_10,71.533,14.430,0.202
Spettro_11,36.316,7.529,0.207
Spettro_12,13.744,7.436,0.541
Spettro_13,47.248,3.633,0.077
Spettro_14,16.335,0.809,0.050
Spettro_15,2.959,0.178,0.060
Spettro_16,2.412,0.130,0.054
Spettro_17,,,
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
