,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1865,0.0240,0.0038,0.2165,0.0385
r_e,4.1145,48.1903,1.0038,15.1853,14.2889
n,0.3446,1.4952,5.0840,1.1600,1.3131
x_0,14.2497,31.7354,36.1688,55.0799,87.6653
