,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.034,0.035,0.033,0.024
Continuum_2,0.020,0.020,0.021,0.014
Continuum_3,0.018,0.018,0.017,0.011
