,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.008,0.009,0.008,0.008,0.009,0.009,0.012
Continuum_2,0.006,0.007,0.006,0.006,0.006,0.006,0.007
Continuum_3,0.005,0.006,0.006,0.006,0.006,0.005,0.006
