,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,11.101,11.460,10.846,10.205,10.269,10.932,9.876
Continuum_2,12.629,13.842,12.978,12.801,13.322,14.872,14.314
Continuum_3,12.286,12.189,11.460,12.733,13.387,13.722,10.723
