,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.093,0.099,0.085,0.085,0.088,0.104,0.119
Continuum_2,0.079,0.091,0.077,0.081,0.085,0.086,0.095
Continuum_3,0.058,0.076,0.066,0.071,0.075,0.062,0.065
