,Component 1,Component 2,Component 3,Component 4
I_e,0.9636,1.0000,1.0000,1.0000
r_e,12.0933,17.2496,21.2005,13.3482
n,1.7016,1.4034,1.7078,1.3752
x_0,33.1733,40.0000,47.7461,57.8504
