,Component 1,Component 2,Component 3,Component 4
I_e error,8.4722,0.0964,0.0889,0.0515
r_e error,32.2201,5.9658,4.4022,3.0776
n error,65.0926,0.4852,0.1540,0.3729
x_0 error,0.1900,3.1245,5.9625,1.0203
