,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,68.632,0.724,0.253,0.192,1.073
Green,0.086,25.287,4.250,1.588,25.090
Purple,0.001,13.866,53.202,22.640,6.833
Orange,0.000,0.000,0.000,26.071,0.000
Chocolate,31.281,60.124,42.295,49.509,67.004
