,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,65.553,0.004,0.000,0.000,0.008
Green,0.000,33.780,0.004,0.000,31.869
Purple,0.000,0.491,52.357,26.930,0.000
Orange,0.000,0.000,1.758,34.752,0.000
Chocolate,34.447,65.726,45.880,38.317,68.123
