Name,Flux,Error flux
Hgamma,0.5542293626399859,0.08806403052948776
Hbeta,1.2946250127193593,0.1097140369811862
Halpha,5.113842348837135,0.10899571971631593
[SII]6731_d1,0.23295800334647257,0.08669549839831525
[SII]6731_d2,1.6540019889242192,0.10387900687999786
HeII4687,0.04970750988402173,0.03872021506943921
HeI5876,0.14898531875594434,0.027217604170420386
[OIII]5007_d,2.389827061500494,0.1437027852370963
[OI]6300_d,0.1901611863694957,0.03532955344611194
[NII]6583_d,1.7273282060380617,0.04947124430790393
