,Component 1,Component 2,Component 3,Component 4
I_e,0.3266,0.1561,0.2842,0.0425
r_e,1.4032,18.4561,8.4942,21.5987
n,0.7459,0.9711,0.4077,1.4308
x_0,31.4727,35.0244,46.5000,60.6667
