,Component 1,Component 2,Component 3,Component 4
I_e,0.1146,0.5969,0.3626,0.0288
r_e,14.7618,3.8172,8.4998,34.9840
n,3.0723,0.9552,0.5950,1.8785
x_0,31.7055,36.5158,45.0399,59.5719
