,Component 1,Component 2,Component 3,Component 4
I_e,0.4615,0.0280,0.2351,0.0636
r_e,1.7651,45.8782,16.3628,4.3229
n,0.7518,1.9846,0.7242,0.9685
x_0,31.6561,36.1440,45.4781,60.2919
