,Component 1,Component 2,Component 3,Component 4
I_e,0.0756,0.1355,0.2865,0.0409
r_e,5.5593,3.7966,16.4599,5.0816
n,2.6444,1.0108,0.6302,1.0829
x_0,31.8117,36.1690,43.5000,61.1844
