,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,4.447,14.106,15.756,4.920,4.055
Continuum_2,8.056,19.226,18.157,13.389,9.926
Continuum_3,9.940,31.658,24.349,12.743,6.847
