,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.197,0.676,0.595,0.412,0.197
Continuum_2,0.202,0.747,0.535,0.327,0.171
Continuum_3,0.185,0.751,0.452,0.264,0.140
