Name,Flux,Error flux
Hgamma,1.0884324164513801,0.16474727602146355
Hbeta,3.884415257481002,0.3249480166373465
Halpha,20.625947856631008,0.4715400789950239
[SII]6716,3.652156975151084,0.051203776458297254
[SII]6731,2.5317232894996926,0.03770381669554077
HeII4687,0.007444306816647114,0.024294590872377935
HeI5876,0.47995448732041596,0.07258321678861401
[OIII]5007_d,1.4091292362839938,0.10522902405122486
[OI]6300_d,0.5281383975712033,0.04064325360496952
[NII]6583_d,8.831171610001515,0.12410643152596146
