,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,3.582,7.755,7.933,14.632,8.722,8.759,6.670
Continuum_2,4.361,8.523,9.280,12.923,11.219,9.543,7.074
Continuum_3,3.532,6.013,6.290,11.126,8.874,6.443,4.137
