,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.015,0.041,0.041,0.111,0.048,0.041,0.025
Continuum_2,0.014,0.035,0.036,0.083,0.046,0.036,0.023
Continuum_3,0.012,0.030,0.031,0.066,0.042,0.031,0.021
