,SNR,Signal,Noise
Component_1,2756.486,40.134,0.015
Component_2,606.401,12.038,0.020
Component_3,639.681,9.567,0.015
Component_4,3611.634,65.142,0.018
Component_5,1918.719,29.692,0.015
