,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.011,0.010,0.011,0.013,0.023
Continuum_2,0.007,0.008,0.008,0.011,0.012
Continuum_3,0.013,0.008,0.008,0.015,0.012
