,SNR,Signal,Noise
Spettro_1,20.772,0.412,0.020
Spettro_2,14.604,0.354,0.024
Spettro_3,18.427,0.461,0.025
Spettro_4,3.099,0.525,0.169
Spettro_5,39.108,1.105,0.028
Spettro_6,41.262,1.175,0.028
Spettro_7,38.832,0.763,0.020
Spettro_8,34.909,0.733,0.021
Spettro_9,19.256,0.701,0.036
Spettro_10,37.875,1.112,0.029
Spettro_11,37.925,1.391,0.037
Spettro_12,79.734,2.747,0.034
Spettro_13,83.252,2.211,0.027
Spettro_14,11.502,0.365,0.032
Spettro_15,4.219,0.142,0.034
Spettro_16,4.927,0.118,0.024
Spettro_17,3.547,0.123,0.035
Spettro_18,1.361,0.045,0.033
Spettro_19,3.858,0.076,0.020
Spettro_20,6.055,0.150,0.025
