,SNR,Signal,Noise
Spettro_1,96.648,2.834,0.029
Spettro_2,91.986,2.924,0.032
Spettro_3,219.217,6.606,0.030
Spettro_4,294.742,9.320,0.032
Spettro_5,651.259,16.489,0.025
Spettro_6,451.703,15.475,0.034
Spettro_7,176.085,8.112,0.046
Spettro_8,165.292,5.681,0.034
Spettro_9,66.665,3.776,0.057
Spettro_10,57.278,5.829,0.102
Spettro_11,93.954,6.075,0.065
Spettro_12,363.541,47.035,0.129
Spettro_13,286.334,13.186,0.046
Spettro_14,16.402,0.832,0.051
Spettro_15,7.474,0.314,0.042
Spettro_16,12.045,0.644,0.053
Spettro_17,7.580,0.279,0.037
Spettro_18,8.600,0.229,0.027
Spettro_19,2.917,0.126,0.043
Spettro_20,24.542,0.589,0.024
