,Component 1,Component 2,Component 3,Component 4
I_e error,1.3709,0.2370,0.1064,5.5922
r_e error,43.2556,5.4426,1.5197,20.8629
n error,22.2705,1.2654,0.0967,2.6063
x_0 error,0.0103,0.4946,4.1610,0.5473
