,Component 1,Component 2,Component 3,Component 4
I_e error,0.3251,0.0286,0.0596,0.0140
r_e error,0.5658,1.3206,1.7797,5.0692
n error,0.7228,0.0919,0.0906,0.1908
x_0 error,0.1877,1.4913,1.4493,0.3403
