,Component 1,Component 2,Component 3,Component 4
I_e error,0.5283,0.0930,0.0584,0.0688
r_e error,2.1636,83.2095,6.7180,56.7292
n error,1.2793,1.1762,0.1308,3.8286
x_0 error,0.1313,1.0889,1.7803,0.1759
