,Component 1,Component 2,Component 3,Component 4
I_e error,0.4334,3542.5834,1.0877,3.1087
r_e error,1030.1523,140.6759,0.7320,4.8752
n error,1.8019,37.2531,0.0724,1.8350
x_0 error,1.6799,0.6619,1.0592,0.9799
