,Component 1,Component 2,Component 3,Component 4
I_e,0.0375,0.6959,0.3536,0.0216
r_e,28.7301,3.7661,9.0860,39.9560
n,4.0708,0.8668,0.6103,2.0523
x_0,31.6212,36.2909,45.0000,59.6844
