,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,9.577,19.330,22.489,26.017,16.017,5.057
Continuum_2,9.822,33.068,21.860,22.439,18.403,4.995
Continuum_3,6.477,10.198,24.297,36.106,18.867,5.853
