,SNR,Signal,Noise
Component_1,119.255,21.129,0.177
Component_2,,0.000,
Component_3,59.503,24.916,0.419
Component_4,64.018,30.121,0.471
Component_5,82.925,28.771,0.347
Component_6,28.969,5.903,0.204
