,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,1.317,23.701,5.636,8.696,3.147,0.529
Continuum_2,1.154,24.366,5.328,9.143,3.590,0.568
Continuum_3,0.911,19.588,4.935,9.058,3.669,0.495
