,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.138,1.226,0.251,0.334,0.196,0.105
Continuum_2,0.118,0.737,0.244,0.407,0.195,0.114
Continuum_3,0.141,1.921,0.203,0.251,0.194,0.085
