,SNR,Signal,Noise
Component_1,77.116,42.427,0.550
Component_2,1.036,8.390,8.100
Component_3,33.509,67.085,2.002
Component_4,20.596,91.364,4.436
Component_5,55.462,81.883,1.476
Component_6,23.494,8.682,0.370
