,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.2586,0.5680,0.0161,0.5731,1.0000
r_e,10.2748,5.8383,27.6412,8.6450,5.3489
n,2.3650,0.1000,3.5214,1.6838,0.9254
x_0,31.5263,38.3264,44.0273,60.2020,62.9007
