,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0697,2.8954,0.4686,0.1386,3.2992
r_e error,2.0634,2.3498,16.1023,0.4310,2.7451
n error,0.2159,0.5318,4.5895,0.0735,0.2001
x_0 error,0.0646,0.7348,0.0207,0.0845,0.2384
