,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0091,0.0171,0.0443,0.0348,0.0148
r_e error,0.6171,0.2812,1.3933,1.3497,8.8063
n error,0.0596,0.0607,0.2920,0.0994,0.5934
x_0 error,0.0495,0.1779,0.2785,0.0778,0.2039
