,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1903,4326.2791,5.7830,0.3472,4.2192
r_e error,0.2040,205.7622,40.7071,0.1271,0.4319
n error,0.0812,98.7804,1.3777,0.0495,0.9920
x_0 error,0.0405,3.3827,35.5328,0.0722,0.2181
