,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1139,100.3371,0.5510,0.3569,0.1305
r_e error,0.4839,11.5858,1.2170,0.3890,4.9743
n error,0.1444,2.8777,0.5820,0.0614,0.5468
x_0 error,0.0078,0.1724,0.2343,0.0515,0.1181
