,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0250,0.0155,0.0134,0.0505,0.0077
r_e error,6.5224,0.7695,0.9272,0.4063,36.7630
n error,0.5105,0.3307,0.0418,0.1171,0.7420
x_0 error,0.0650,0.1851,1.6760,0.0846,0.2074
