,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.4284,3.0342,3.6252,0.9915,10.2929
r_e,23.9851,16.7541,2.8545,16.3035,3.6734
n,2.6336,0.2320,0.0966,2.2202,0.2685
x_0,30.4087,44.3850,40.6047,59.0683,60.2655
