,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0756,0.1791,1.3137,0.2761,0.4871
r_e error,3.0410,0.1912,1.0371,2.1546,0.0538
n error,0.1322,0.0175,0.1052,0.2432,0.0242
x_0 error,0.0256,0.3747,0.0673,0.0289,0.0695
